bandwidth;quality;loss_rate;mos
1024;144p10;5;1
1024;144p10;7;1
1024;144p10;5;1
1024;144p10;4;1
1536;144p10;5;1
1536;144p10;4;1
1536;144p10;3;1
1536;144p10;0;1
1536;144p10;3;1
1536;144p10;2;1
2048;144p10;2;1
2048;144p10;5;1
2048;144p10;5;1
2560;144p10;0;1
2560;144p10;0;1
2560;144p10;5;1
2560;144p10;6;1
3072;144p10;5;1
3584;144p10;7;1
3584;144p10;8;1
3584;144p10;7;1
3584;144p10;9;1
3584;144p10;8;1
3584;144p10;6;1
4608;144p10;8;1
1024;240p30;9;1
1024;240p30;8;1
1024;240p30;5;1
1024;240p30;4;1
1024;240p30;7;1
1024;240p30;0;1
1024;240p30;0;1
1024;240p30;0;1
1536;144p10;2;2
1536;144p10;2;2
1536;144p10;2;2
1536;144p10;2;2
1536;144p10;2;2
1536;144p10;0;2
1536;144p10;0;2
1536;144p10;1;2
1536;144p10;1;2
1536;144p10;1;2
1536;144p10;0;2
1536;144p10;0;2
2048;144p10;0;2
2048;144p10;0;2
2048;144p10;0;2
2048;144p10;0;2
2048;144p10;0;2
2048;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
2560;144p10;0;2
3072;144p10;2;2
3072;144p10;0;2
3072;144p10;0;2
3072;144p10;0;2
3072;144p10;0;2
3072;144p10;0;2
3072;144p10;0;2
3584;144p10;0;2
3584;144p10;0;2
3584;144p10;0;2
3584;144p10;4;2
4096;144p10;6;2
4096;144p10;0;2
4608;144p10;0;2
4608;144p10;2;2
4608;144p10;5;2
4608;144p10;4;2
4608;144p10;0;2
1024;240p30;0;2
1024;240p30;0;2
1024;240p30;0;2
1024;240p30;0;2
1536;240p30;1;2
1536;240p30;0;2
1536;240p30;0;2
1536;240p30;0;2
2048;240p30;0;2
2048;240p30;0;2
2560;240p30;0;2
2560;240p30;0;2
2560;240p30;0;2
3072;240p30;0;2
3072;240p30;0;2
3072;240p30;0;2
3072;240p30;0;2
3072;240p30;0;2
3072;240p30;0;2
1024;360p30;0;2
1536;360p30;1;2
1024;480p30;0;2
2048;480p30;2;2
2048;480p30;4;2
4096;1080p30;14;2
1536;144p10;0;3
1024;240p30;0;3
1024;240p30;1;3
1024;240p30;0;3
1536;240p30;0;3
1536;240p30;5;3
1536;240p30;3;3
1536;240p30;0;3
1536;240p30;0;3
1536;240p30;0;3
1536;240p30;0;3
1536;240p30;0;3
1536;240p30;0;3
1536;240p30;0;3
2048;240p30;0;3
2048;240p30;0;3
2048;240p30;0;3
2048;240p30;0;3
2560;240p30;1;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
2560;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3072;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
3584;240p30;0;3
4096;240p30;1;3
4096;240p30;0;3
4096;240p30;0;3
4096;240p30;0;3
4608;240p30;0;3
4608;240p30;0;3
1536;360p30;0;3
1536;360p30;2;3
2048;360p30;0;3
2560;360p30;1;3
4096;360p30;0;3
2560;720p30;3;3
4096;1080p30;7;3
2048;240p30;0;4
3072;240p30;0;4
3072;240p30;0;4
1536;360p30;0;4
2048;360p30;1;4
2048;360p30;2;4
2048;360p30;0;4
2560;360p30;1;4
3072;360p30;0;4
3072;360p30;0;4
3072;360p30;0;4
3072;360p30;0;4
3072;360p30;0;4
3072;360p30;0;4
3072;360p30;0;4
3072;360p30;0;4
3584;360p30;0;4
3584;360p30;0;4
3584;360p30;0;4
3584;360p30;0;4
3584;360p30;0;4
3584;360p30;0;4
4096;360p30;0;4
4096;360p30;0;4
4096;360p30;0;4
4096;360p30;0;4
4096;360p30;0;4
4608;360p30;0;4
4608;360p30;0;4
4608;360p30;0;4
1536;480p30;2;4
2048;480p30;1;4
2048;480p30;0;4
2560;480p30;0;4
2560;480p30;4;4
2560;480p30;0;4
2560;480p30;0;4
3072;480p30;0;4
3072;480p30;1;4
3072;480p30;0;4
3072;480p30;0;4
3072;480p30;1;4
3072;480p30;0;4
3072;480p30;0;4
3072;480p30;0;4
3584;480p30;0;4
3584;480p30;0;4
3584;480p30;0;4
3584;480p30;0;4
4096;480p30;0;4
4096;480p30;0;4
4096;480p30;0;4
4096;480p30;0;4
4608;480p30;0;4
4608;480p30;0;4
4608;480p30;0;4
1536;720p30;0;4
2560;720p30;1;4
3072;720p30;2;4
3584;720p30;1;4
3584;720p30;1;4
4096;720p30;0;4
4608;720p30;0;4
2560;1080p30;0;4
2560;1080p30;0;4
3584;1080p30;1;4
2560;360p30;0;5
2560;360p30;0;5
2560;360p30;0;5
3072;360p30;0;5
3072;360p30;0;5
3584;360p30;0;5
3584;360p30;0;5
3584;360p30;0;5
3584;360p30;0;5
3584;360p30;0;5
4096;360p30;0;5
4096;360p30;0;5
4096;360p30;0;5
4096;360p30;0;5
4608;360p30;0;5
2048;480p30;2;5
2560;480p30;0;5
2560;480p30;0;5
3072;480p30;0;5
3072;480p30;0;5
3584;480p30;0;5
3584;480p30;0;5
3584;480p30;0;5
4096;480p30;0;5
4096;480p30;0;5
4608;480p30;0;5
4608;480p30;3;5
4608;480p30;0;5
4608;480p30;0;5
3072;720p30;6;5
3072;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4608;720p30;9;5
4608;720p30;0;5
4608;720p30;0;5
4608;720p30;0;5
4608;720p30;0;5
4608;720p30;0;5
3584;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
